ID,Time,Angle
0f,2023-09-05 14:49:06,326.3873291015625
0f,2023-09-05 14:49:07,328.2440185546875
0f,2023-09-05 14:49:08,332.039794921875
0f,2023-09-05 14:49:09,327.2442626953125
0f,2023-09-05 14:49:10,316.8896484375
0f,2023-09-05 14:49:11,260.123291015625
0f,2023-09-05 14:49:12,234.3218994140625
0f,2023-09-05 14:49:13,251.9219970703125
0f,2023-09-05 14:49:14,292.467041015625
0f,2023-09-05 14:49:15,302.684326171875
0f,2023-09-05 14:49:16,314.4451904296875
0f,2023-09-05 14:49:17,311.0174560546875
0f,2023-09-05 14:49:18,41.5338134765625
0f,2023-09-05 14:49:19,24.4281005859375
0f,2023-09-05 14:49:20,75.838623046875
0f,2023-09-05 14:49:21,87.6654052734375
0f,2023-09-05 14:49:22,122.706298828125
0f,2023-09-05 14:49:23,143.0255126953125
0f,2023-09-05 14:49:24,134.219970703125
0f,2023-09-05 14:49:25,150.0567626953125
0f,2023-09-05 14:49:26,181.95556640625
0f,2023-09-05 14:49:27,223.4234619140625
0f,2023-09-05 14:49:28,210.498046875
0f,2023-09-05 14:49:29,204.9005126953125
0f,2023-09-05 14:49:30,197.40234375
0f,2023-09-05 14:49:31,212.6019287109375
0f,2023-09-05 14:49:32,212.5360107421875
0f,2023-09-05 14:49:33,215.5902099609375
0f,2023-09-05 14:49:34,216.046142578125
0f,2023-09-05 14:49:35,216.8316650390625
0f,2023-09-05 14:49:36,218.353271484375
0f,2023-09-05 14:49:37,213.8763427734375
0f,2023-09-05 14:49:38,216.650390625
0f,2023-09-05 14:49:39,217.056884765625
0f,2023-09-05 14:49:40,215.6781005859375
0f,2023-09-05 14:49:41,216.4910888671875
0f,2023-09-05 14:49:42,216.7767333984375
0f,2023-09-05 14:49:43,215.88134765625
0f,2023-09-05 14:49:44,213.255615234375
0f,2023-09-05 14:49:45,219.012451171875
0f,2023-09-05 14:49:46,219.814453125
0f,2023-09-05 14:49:47,216.177978515625
0f,2023-09-05 14:49:48,199.6820068359375
0f,2023-09-05 14:49:49,210.8551025390625
0f,2023-09-05 14:49:50,202.7691650390625
